Reg Number	Variant ID	Chapter Number	Chapter Title	Plate Title	Page		
41982	66501	3.03	Disorders of the Knee	Total Knee Replacement Technique: Steps 6 to 9	164		
41983	66503	3.03	Disorders of the Knee	Total Knee Replacement Technique: Steps 10 to 14	165		
41984	66504	3.03	Disorders of the Knee	Total Knee Replacement Technique: Steps 15 to 20	166		
3718	66505	3.03	Disorders of the Knee	Medial Release for Varus Deformity of Knee	167		
3719	66506	3.03	Disorders of the Knee	Lateral Release for Valgus Deformity of Knee	168		
3997	66507	3.03	Disorders of the Knee	Rehabilitation After Total Knee Replacement	169		
3720	66508	3.03	Disorders of the Knee	High Tibial Osteotomy for Varus Deformity of Knee	170		
CM0021	66509	3.03	Disorders of the Knee	Below Knee Amputation	171		
41985	66510	3.03	Disorders of the Knee	Disarticulation of Knee and Above-Knee Amputation	172		
22904	66511	4.01	Lower Leg Anatomy	Topographic Anatomy of the Lower Leg	174		
3156	66512	4.01	Lower Leg Anatomy	Fascial Compartments of Leg 	175		
i6952	66513	4.01	Lower Leg Anatomy	Muscles of Leg:  Superificial Dissection (Anterior View)	176		
i6953	66514	4.01	Lower Leg Anatomy	Muscles of Leg: Superficial Dissection (Lateral View)	177		
3158	66515	4.01	Lower Leg Anatomy	Muscles, Arteries, and Nerves of Leg: Deep Dissection (Anterior view)	178		
i6950	66516	4.01	Lower Leg Anatomy	Muscles of Leg: Superficial Dissection (Posterior View)	179		
i6951	66517	4.01	Lower Leg Anatomy	Muscles of Leg: Intermediate Dissection (Posterior View)	180		
3160	66518	4.01	Lower Leg Anatomy	Muscles, Arteries, and Nerves of Leg: Deep Dissection (Posterior view)	181		
2408	66519	4.01	Lower Leg Anatomy	Common Peroneal Nerve	182		
2407	66520	4.01	Lower Leg Anatomy	Tibial Nerve	183		
i6948	66521	4.01	Lower Leg Anatomy	Tibia and Fibula 	184		
i6949	66522	4.01	Lower Leg Anatomy	Tibia and Fibula (Continued)	185		
3162	69998	4.01	Lower Leg Anatomy	Bony Attachments of Muscles of Leg 	186		
3960	69999	4.02	Injury to Lower Leg	Fracture of Proximal Tibia Involving Articular Surface 	187		
3961	70000	4.02	Injury to Lower Leg	Fracture of Shaft of Tibia 	188		
3907	70001	4.02	Injury to Lower Leg	Fracture of Tibia in Children	189		
41986	70002	4.03	Congenital Deformities	Bowleg and Knock-Knee	190		
3138	70003	4.03	Congenital Deformities	Blount Disease	191		
3140	70004	4.03	Congenital Deformities	Toeing In: Metatarsus Adductus and Internal Tibial Torsion	192		
3140	70005	4.03	Congenital Deformities	Toeing In:  Internal Femoral Torsion	193		
3139	70007	4.03	Congenital Deformities	Toeing Out and Postural Torsional Effects on Lower Limbs	194		
41987	70008	5.01	Ankle and Foot Anatomy	Surface Anatomy and Muscle Origins and Insertions	196		
3165	70009	5.01	Ankle and Foot Anatomy	Tendon Sheaths of Ankle	197		
2726	70010	5.01	Ankle and Foot Anatomy	Ligaments and Tendons of Ankle	198		
3163	70011	5.01	Ankle and Foot Anatomy	Dorsal Foot: Superficial Dissection	199		
3164	70012	5.01	Ankle and Foot Anatomy	Dorsal Foot: Deep Dissection 	200		
4028	70013	5.01	Ankle and Foot Anatomy	Plantar Foot: Superficial Dissection 	201		
4029	70014	5.01	Ankle and Foot Anatomy	Plantar Foot: First Layer  	202		
4030	70015	5.01	Ankle and Foot Anatomy	Plantar Foot: Second Layer  	203		
4031	70016	5.01	Ankle and Foot Anatomy	Plantar Foot: Third Layer  	204		
3170	70017	5.01	Ankle and Foot Anatomy	Interosseous Muscles and Deep Arteries of Foot  	205		
41988	70018	5.01	Ankle and Foot Anatomy	Cross-Sectional Anatomy of Ankle and Foot	206		
41989	70019	5.01	Ankle and Foot Anatomy	Cross-Sectional Anatomy of  Ankle and Foot (Continued)	207		
i6954	70020	5.01	Ankle and Foot Anatomy	Bones of Foot	208		
i6955	70021	5.01	Ankle and Foot Anatomy	Bones of Foot (Continued)	209		
3169	70022	5.01	Ankle and Foot Anatomy	Ligaments and Tendons of Foot: Plantar View 	210		
3171	70023	5.01	Ankle and Foot Anatomy	Lymph Vessels and Nodes of Lower Limb	211		
481	70024	5.02	Fractures and Dislocations	Major Sprains and Sprain Fractures 	212		
2733	70025	5.02	Fractures and Dislocations	Mechanisms of Ankle Sprains 	213		
3843	70026	5.02	Fractures and Dislocations	Rotational Fractures	214		
3844	70027	5.02	Fractures and Dislocations	Repair of Fracture of Malleolus  	215		
3845	70028	5.02	Fractures and Dislocations	Pilon Fracture	216		
41990	70029	5.02	Fractures and Dislocations	Talus Fracture	217		
3849	70030	5.02	Fractures and Dislocations	Extraarticular Fracture of Calcaneus	218		
3850	70031	5.02	Fractures and Dislocations	Intra-articular Fracture of Calcaneus	219		
5040	70032	5.02	Fractures and Dislocations	Fifth Metatarsal Fractures	220		
5413	70033	5.02	Fractures and Dislocations	Lisfranc Injury	221		
3851	70034	5.02	Fractures and Dislocations	Navicular Stress Fractures	222		
41991	70035	5.03	Common Soft Tissue Disorders	Achilles Tendon Rupture	223		
41992	70036	5.03	Common Soft Tissue Disorders	Peroneal Tendon Injury	224		
41993	70037	5.03	Common Soft Tissue Disorders	Osteochondral Lesions of the Talus	225		
41994	70038	5.03	Common Soft Tissue Disorders	Turf Toe	226		
3070	70039	5.03	Common Soft Tissue Disorders	Plantar Fasciitis	227		
5406	70040	5.03	Common Soft Tissue Disorders	Posterior Tibial Tendonitis/Flatfoot	228		
3306	70041	5.04	Deformities of the Ankle and Foot	Congenital Clubfoot 	229		
41995	70042	5.04	Deformities of the Ankle and Foot	Congenital Clubfoot (Continued)	230		
3308	70043	5.04	Deformities of the Ankle and Foot	Congenital Vertical Talus	231		
3309	70044	5.04	Deformities of the Ankle and Foot	Cavovarus Foot	232		
3310	70045	5.04	Deformities of the Ankle and Foot	Calcaneovalgus and Planovalgus	233		
3283	70046	5.04	Deformities of the Ankle and Foot	Tarsal Coalition	234		
3284	70047	5.04	Deformities of the Ankle and Foot	Tarsal Coalition (Continued)	235		
3285	70048	5.04	Deformities of the Ankle and Foot	Accessory Tarsal Navicular	236		
3136	70049	5.04	Deformities of the Ankle and Foot	Congenital Toe Deformities	237		
3598	70050	5.04	Deformities of the Ankle and Foot	Köhler Disease	238		
CM0013	70051	5.05	Infections and Amputations	Common Foot Infections	239		
CM0014	70052	5.05	Infections and Amputations	Deep Infections of Foot	240		
CM0016	70053	5.05	Infections and Amputations	Lesions of the Diabetic Foot	241		
CM0017	70054	5.05	Infections and Amputations	Clinical Evaluation of Patient with Diabetic Foot Lesion	242		
4590	70055	5.05	Infections and Amputations	Amputation of Foot	243		
CM0020	70056	5.05	Infections and Amputations	Syme Amputation (Wagner Modification)	244		
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							

